r_1,r_2,r_3,r_4
0.7178677073287525,0.08736601249018187,0.05576939435142927,0.19709877127363948
0.9613274309257835,0.4678388616800724,0.8596126169500606,0.2946078806445183
0.09223111916879902,0.9207672022058944,0.9659355292898186,0.2809709456539588
0.017924001794843884,0.7394447751402812,0.4486233324929142,0.35485898260257315
0.23721401634752043,0.4179350023134033,0.08974128259795042,0.39604741371000074
0.9559818997703908,0.16718006325870982,0.996691116161747,0.4898243833853454
0.7920783928677387,0.4848675763943613,0.7232452416852939,0.6625290521516077
0.6895774686929471,0.3282426729296258,0.13560129579197364,0.6328983526036044
0.4896174689481524,0.7310671541555891,0.44758878424704657,0.5726240462706842
0.16652574842936996,0.9711315887270918,0.991140800770095,0.5917477071089567
0.7274200880715502,0.9172439751296265,0.723598149522673,0.6817141392049509
0.9202705195624976,0.013673858092544025,0.6380679881479174,0.7434638409118719
0.8946997343896491,0.20859283055565506,0.7234433487886639,0.7966714010221233
0.09531604812085624,0.9724476055476434,0.032805149037658604,0.8194310685713225
0.25618387004331855,0.6450971070401964,0.26988724045990636,0.8273790840436541
0.005554272934549617,0.09871003254795852,0.9423229544468973,0.8824596582630844
0.7046543147441807,0.22094394057929154,0.9910463617820192,0.8829522315781996
0.5734173365459004,0.2811948908971632,0.032536220638991635,0.9604310654341937
0.550899468150392,0.5506095769104633,0.9067646103244881,0.883567347178847
0.7998767757177578,0.23098061001693346,0.9068495209620512,0.9595508345791536
0.15317135006799684,0.9268639472746891,0.9911117593090489,0.12810921392847982
0.5998342206853307,0.024418601529475177,0.5439853731630457,0.20086105462267828
0.022191103108357358,0.5454203941722542,0.19666840938854713,0.18016617864301637
0.7311829618886256,0.0779165916626835,0.9069599439833657,0.21139740737903734
0.11546962166146787,0.02457656720850814,0.8602549224142001,0.23126024083411062
0.6570379633584686,0.9963159693004517,0.8601149032241057,0.3056185052827983
0.7713298092211349,0.3207400576303586,0.7230822211933535,0.38101084025317217
0.8458144165700638,0.05782549551891652,0.9910820066685739,0.40870343310347806
0.193327965116898,0.6708163183589826,0.017580296856251974,0.39999716159037224
0.9620025435500918,0.06927690784711509,0.9997656116277484,0.5755545297054265
0.838219898914037,0.9941087562169716,0.9815983412632348,0.6162597667094172
0.9428289009242437,0.08055130941424628,0.9418514586291655,0.7304430152860226
0.07732562166369866,0.43335691496556417,0.9997638699125747,0.7329257197778384
0.3795878559748511,0.9385186661082903,0.9997687560295293,0.7545776135100021
0.9419514613126321,0.04418350636807844,0.7985730167245264,0.8587656401935158
0.9783538531915134,0.701534054467044,0.0327236440681516,0.9593746855434191
0.41306636216753584,0.6321533323073674,0.991070094094225,0.9815504954652606
0.990862893704396,0.41437268659985627,0.2699563561342013,0.992275515474109
