# Time (s), Energy (keV), Sun X (arcsec), Sun Y (arcsec), Start Time, End Time, Min X, Max X, Min Y, Max Y
1.525745342874131799e+08,2.640000000000000124e+00,8.130299999999999727e+02,1.414499999999999886e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745350252680182e+08,2.839999999999999858e+00,7.564500000000000455e+02,2.029499999999999886e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745350883213878e+08,2.839999999999999858e+00,5.645699999999999363e+02,2.816700000000000159e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745350940679312e+08,2.919999999999999929e+00,1.285349999999999909e+03,5.042999999999999972e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745353328819573e+08,2.720000000000000195e+00,8.917500000000000000e+02,7.995000000000000284e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745356983485222e+08,2.520000000000000018e+00,9.901499999999999773e+02,2.570699999999999932e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745359013443887e+08,2.919999999999999929e+00,9.680099999999999909e+02,1.414499999999999886e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745359244509637e+08,2.919999999999999929e+00,7.367699999999999818e+02,3.321000000000000085e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745360961382389e+08,2.680000000000000160e+00,9.803099999999999454e+02,3.161100000000000136e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745361610481739e+08,2.560000000000000053e+00,6.777300000000000182e+02,1.685099999999999909e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745363310655355e+08,2.839999999999999858e+00,1.068869999999999891e+03,4.304999999999999716e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745368569205701e+08,2.680000000000000160e+00,8.720699999999999363e+02,2.915099999999999909e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745369272428453e+08,2.560000000000000053e+00,9.926100000000000136e+02,-6.150000000000000355e+00,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745370791113377e+08,2.680000000000000160e+00,8.327100000000000364e+02,9.225000000000000000e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745379004340172e+08,3.280000000000000249e+00,9.458700000000000045e+02,-2.337000000000000099e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745384907541275e+08,3.040000000000000036e+00,1.098389999999999873e+03,5.535000000000000142e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745385449034274e+08,2.839999999999999858e+00,5.940900000000000318e+02,5.289000000000000057e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745386183810830e+08,2.640000000000000124e+00,8.622300000000000182e+02,8.487000000000000455e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745389052473903e+08,2.759999999999999787e+00,8.622300000000000182e+02,2.669099999999999682e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745390280208290e+08,2.560000000000000053e+00,1.150049999999999955e+03,5.817899999999999636e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745399375130236e+08,2.919999999999999929e+00,7.589099999999999682e+02,1.857299999999999898e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745400257595479e+08,2.919999999999999929e+00,8.868300000000000409e+02,2.546099999999999852e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745400945757329e+08,2.759999999999999787e+00,1.260750000000000000e+03,3.603899999999999864e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745400970182419e+08,3.240000000000000213e+00,9.409499999999999318e+02,-2.091000000000000014e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745402564463913e+08,2.560000000000000053e+00,9.630900000000000318e+02,8.978999999999999204e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745404349891543e+08,2.799999999999999822e+00,7.318500000000000227e+02,1.955699999999999932e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745406444574594e+08,2.640000000000000124e+00,1.027049999999999955e+03,2.521500000000000057e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745410648871660e+08,2.959999999999999964e+00,1.014750000000000000e+03,8.487000000000000455e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745412880989611e+08,2.520000000000000018e+00,1.241069999999999936e+03,2.718299999999999841e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745420071907640e+08,3.040000000000000036e+00,9.753899999999999864e+02,1.783499999999999943e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745423307725787e+08,3.360000000000000320e+00,9.729299999999999500e+02,-2.091000000000000014e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745424347059429e+08,2.640000000000000124e+00,9.827699999999999818e+02,1.193100000000000023e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745426211404204e+08,3.240000000000000213e+00,1.118069999999999936e+03,1.488299999999999841e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745427250922322e+08,2.560000000000000053e+00,8.892899999999999636e+02,1.881899999999999977e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745430140136778e+08,2.520000000000000018e+00,7.662899999999999636e+02,2.177100000000000080e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745430279307663e+08,2.640000000000000124e+00,9.729299999999999500e+02,1.217699999999999960e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745432573480904e+08,2.759999999999999787e+00,9.261899999999999409e+02,2.152500000000000000e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745432597146332e+08,2.759999999999999787e+00,8.228700000000000045e+02,3.726899999999999977e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745445036393106e+08,2.520000000000000018e+00,7.244700000000000273e+02,2.841299999999999955e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745446373589337e+08,3.480000000000000426e+00,7.761299999999999955e+02,7.256999999999999318e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745446770887673e+08,2.959999999999999964e+00,7.392300000000000182e+02,2.398499999999999943e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745447686013579e+08,2.959999999999999964e+00,7.490699999999999363e+02,3.899099999999999682e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745451240701079e+08,2.560000000000000053e+00,1.199250000000000000e+03,5.694900000000000091e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745454196006954e+08,2.799999999999999822e+00,9.581699999999999591e+02,9.962999999999999545e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
