# Time (s), Energy (keV), Sun X (arcsec), Sun Y (arcsec), Start Time, End Time, Min X, Max X, Min Y, Max Y
1.525736903344845772e+08,2.600000000000000089e+00,1.091009999999999991e+03,-2.865899999999999750e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736905008159578e+08,3.400000000000000355e+00,9.261899999999999409e+02,-2.496899999999999977e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736905342024863e+08,2.839999999999999858e+00,1.027049999999999955e+03,-1.439099999999999966e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736908585481644e+08,2.600000000000000089e+00,1.093470000000000027e+03,-3.185699999999999932e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736909634212255e+08,2.799999999999999822e+00,9.876899999999999409e+02,-2.964300000000000068e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736910789832771e+08,2.759999999999999787e+00,1.088549999999999955e+03,-3.972900000000000205e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736911414333880e+08,2.600000000000000089e+00,1.150049999999999955e+03,-1.107000000000000028e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736912759494483e+08,2.799999999999999822e+00,1.068869999999999891e+03,1.844999999999999929e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736914086252153e+08,3.240000000000000213e+00,9.065099999999999909e+02,-7.256999999999999318e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736916950412393e+08,2.680000000000000160e+00,5.645699999999999363e+02,-9.717000000000000171e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736917521462739e+08,3.520000000000000018e+00,9.015900000000000318e+02,-2.890500000000000114e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736919167860150e+08,2.839999999999999858e+00,9.360299999999999727e+02,-2.890500000000000114e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736919244422615e+08,2.600000000000000089e+00,1.046730000000000018e+03,-1.266899999999999977e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736919755056500e+08,2.919999999999999929e+00,8.942100000000000364e+02,-3.431700000000000159e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736924206271768e+08,2.839999999999999858e+00,1.019669999999999959e+03,-4.563299999999999841e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736924772927463e+08,2.720000000000000195e+00,8.204099999999999682e+02,-3.726899999999999977e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736925934071243e+08,3.080000000000000071e+00,9.803099999999999454e+02,-1.783499999999999943e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736925987988412e+08,3.720000000000000195e+00,1.120529999999999973e+03,-1.512899999999999920e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736926074294746e+08,2.799999999999999822e+00,9.286499999999999773e+02,-8.978999999999999204e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736926521668732e+08,2.839999999999999858e+00,1.356690000000000055e+03,-2.373899999999999864e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
