# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033526524273157e+08,1.920000000000000151e+00,-8.499299999999999500e+02,-1.291500000000000057e+02
3.376033528592870831e+08,1.640000000000000124e+00,-6.851100000000000136e+02,-2.054099999999999966e+02
3.376033528779025674e+08,1.680000000000000160e+00,-5.867100000000000364e+02,-6.272999999999999687e+01
3.376033529879491925e+08,1.600000000000000089e+00,-1.019669999999999959e+03,6.026999999999999602e+01
3.376033529906065464e+08,2.240000000000000213e+00,-1.044269999999999982e+03,2.841299999999999955e+02
3.376033535889203548e+08,3.240000000000000213e+00,-8.474700000000000273e+02,1.463700000000000045e+02
3.376033536751866341e+08,1.600000000000000089e+00,-1.135289999999999964e+03,-2.619900000000000091e+02
3.376033538758528829e+08,1.600000000000000089e+00,-8.942100000000000364e+02,-1.758899999999999864e+02
3.376033540686360598e+08,1.920000000000000151e+00,-9.458700000000000045e+02,2.841299999999999955e+02
3.376033542809049487e+08,1.959999999999999964e+00,-9.335699999999999363e+02,-2.841299999999999955e+02
3.376033543229318857e+08,2.200000000000000178e+00,-6.629700000000000273e+02,-3.567000000000000171e+01
3.376033545850553513e+08,1.800000000000000044e+00,-7.638300000000000409e+02,2.644499999999999886e+02
3.376033546498969197e+08,2.000000000000000000e+00,-7.933500000000000227e+02,-1.365300000000000011e+02
3.376033546776443124e+08,1.800000000000000044e+00,-5.990099999999999909e+02,-7.010999999999999943e+01
3.376033547645746469e+08,2.439999999999999947e+00,-8.646899999999999409e+02,3.038100000000000023e+02
3.376033554699587822e+08,1.959999999999999964e+00,-7.047899999999999636e+02,-7.995000000000000284e+01
3.376033555307844877e+08,2.200000000000000178e+00,-1.282889999999999873e+03,9.225000000000000000e+01
3.376033557036197782e+08,1.880000000000000115e+00,-1.029509999999999991e+03,4.120500000000000114e+02
3.376033558909071088e+08,1.880000000000000115e+00,-1.154970000000000027e+03,-4.218899999999999864e+02
3.376033559857964516e+08,2.200000000000000178e+00,-1.209089999999999918e+03,-2.619900000000000091e+02
3.376033560695551038e+08,2.560000000000000053e+00,-1.300109999999999900e+03,2.275499999999999829e+02
3.376033560928461552e+08,1.680000000000000160e+00,-9.729299999999999500e+02,-4.550999999999999801e+01
3.376033563007975221e+08,1.800000000000000044e+00,-1.142670000000000073e+03,-9.225000000000000000e+01
3.376033563968467712e+08,1.680000000000000160e+00,-1.132829999999999927e+03,3.259499999999999886e+02
3.376033564463042617e+08,1.651599999999999966e+02,-1.270589999999999918e+03,1.586699999999999875e+02
3.376033565965809226e+08,2.640000000000000124e+00,-7.761299999999999955e+02,1.844999999999999929e+01
3.376033568708626032e+08,1.800000000000000044e+00,-1.130369999999999891e+03,-3.259499999999999886e+02
3.376033569693923593e+08,1.680000000000000160e+00,-7.416899999999999409e+02,7.995000000000000284e+01
3.376033571399587393e+08,1.800000000000000044e+00,-6.186899999999999409e+02,-3.689999999999999947e+00
3.376033573567219973e+08,1.880000000000000115e+00,-9.606299999999999955e+02,-2.091000000000000014e+01
3.376033573956206441e+08,2.879999999999999893e+00,-5.301299999999999955e+02,-1.832700000000000102e+02
3.376033574679600596e+08,1.760000000000000009e+00,-9.827699999999999818e+02,-3.505500000000000114e+02
3.376033574915472865e+08,2.240000000000000213e+00,-1.049190000000000055e+03,-2.939699999999999704e+02
