# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033468735156059e+08,1.600000000000000089e+00,-8.179499999999999318e+02,-2.373899999999999864e+02
3.376033472439323068e+08,2.080000000000000071e+00,-1.536269999999999982e+03,-1.229999999999999982e+00
3.376033475439702868e+08,2.120000000000000107e+00,-9.040499999999999545e+02,-3.849900000000000091e+02
3.376033475525705218e+08,4.288000000000000256e+01,-1.179569999999999936e+03,2.828999999999999915e+01
3.376033475881217718e+08,1.640000000000000124e+00,-6.752699999999999818e+02,6.272999999999999687e+01
3.376033476210253835e+08,1.680000000000000160e+00,-8.327100000000000364e+02,-2.054099999999999966e+02
3.376033478958420157e+08,2.439999999999999947e+00,-1.349309999999999945e+03,-1.439099999999999966e+02
3.376033479020887613e+08,6.659999999999999432e+01,-1.120529999999999973e+03,1.463700000000000045e+02
3.376033481979329586e+08,1.840000000000000080e+00,-1.162349999999999909e+03,-2.091000000000000014e+01
3.376033482292068005e+08,2.640000000000000124e+00,-1.420650000000000091e+03,-1.168499999999999943e+02
3.376033482903472185e+08,2.879999999999999893e+00,-1.455089999999999918e+03,-6.272999999999999687e+01
3.376033487415071726e+08,2.320000000000000284e+00,-9.483300000000000409e+02,-4.341899999999999977e+02
3.376033490037434697e+08,1.720000000000000195e+00,-8.671499999999999773e+02,1.844999999999999929e+01
3.376033490860742331e+08,2.896000000000000085e+01,-1.002449999999999932e+03,4.489499999999999886e+02
3.376033492426193357e+08,1.880000000000000115e+00,-8.253300000000000409e+02,-2.152500000000000000e+02
3.376033492903993130e+08,2.240000000000000213e+00,-7.564500000000000455e+02,-1.808100000000000023e+02
3.376033496431043744e+08,2.320000000000000284e+00,-8.228700000000000045e+02,-1.389900000000000091e+02
3.376033496801063418e+08,2.600000000000000089e+00,-8.991299999999999955e+02,-2.595299999999999727e+02
3.376033497509863377e+08,1.720000000000000195e+00,-8.474700000000000273e+02,4.796999999999999886e+01
3.376033498725206256e+08,1.680000000000000160e+00,-1.319789999999999964e+03,1.783499999999999943e+02
