# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,7.428146600723266602e-01
1.639999985694885254e+00,1.010197401046752930e+00
1.680000066757202148e+00,1.369929194450378418e+00
1.720000028610229492e+00,1.852890253067016602e+00
1.759999990463256836e+00,2.466065645217895508e+00
1.799999952316284180e+00,3.069054126739501953e+00
1.840000033378601074e+00,1.889935135841369629e+00
1.879999995231628418e+00,2.366167545318603516e+00
1.920000076293945312e+00,3.032775402069091797e+00
1.960000038146972656e+00,3.770796775817871094e+00
2.000000000000000000e+00,4.608581542968750000e+00
2.039999961853027344e+00,5.584152698516845703e+00
2.079999923706054688e+00,6.759161949157714844e+00
2.119999885559082031e+00,5.847868442535400391e+00
2.160000085830688477e+00,6.742437839508056641e+00
2.200000047683715820e+00,6.883777618408203125e+00
2.240000009536743164e+00,7.818897247314453125e+00
2.279999971389770508e+00,8.907564163208007812e+00
2.319999933242797852e+00,1.024203681945800781e+01
2.360000133514404297e+00,1.152876186370849609e+01
2.400000095367431641e+00,1.275707244873046875e+01
2.440000057220458984e+00,1.414992141723632812e+01
2.480000019073486328e+00,1.578696823120117188e+01
2.519999980926513672e+00,1.777917861938476562e+01
2.559999942779541016e+00,1.996105194091796875e+01
2.599999904632568359e+00,2.194276428222656250e+01
2.639999866485595703e+00,2.212073707580566406e+01
2.679999828338623047e+00,2.408926773071289062e+01
2.720000028610229492e+00,2.620545578002929688e+01
2.759999990463256836e+00,2.849166107177734375e+01
2.799999952316284180e+00,3.094858741760253906e+01
2.840000152587890625e+00,3.348629760742187500e+01
2.880000114440917969e+00,3.569255828857421875e+01
2.920000076293945312e+00,3.799713516235351562e+01
2.960000038146972656e+00,4.043732070922851562e+01
3.000000000000000000e+00,4.301893997192382812e+01
3.039999961853027344e+00,4.425619506835937500e+01
3.079999923706054688e+00,4.677151489257812500e+01
3.119999885559082031e+00,4.936738586425781250e+01
3.159999847412109375e+00,5.151483917236328125e+01
3.199999809265136719e+00,5.372170257568359375e+01
