# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.459914803504943848e-01
1.639999985694885254e+00,7.403479218482971191e-01
1.680000066757202148e+00,1.001100778579711914e+00
1.720000028610229492e+00,1.350223302841186523e+00
1.759999990463256836e+00,1.792045235633850098e+00
1.799999952316284180e+00,2.222447872161865234e+00
1.840000033378601074e+00,1.363296508789062500e+00
1.879999995231628418e+00,1.703987598419189453e+00
1.920000076293945312e+00,2.185131311416625977e+00
1.960000038146972656e+00,2.718396186828613281e+00
2.000000000000000000e+00,3.325496196746826172e+00
2.039999961853027344e+00,4.034650325775146484e+00
2.079999923706054688e+00,4.889874935150146484e+00
2.119999885559082031e+00,4.632544517517089844e+00
2.160000085830688477e+00,5.326056480407714844e+00
2.200000047683715820e+00,5.605153083801269531e+00
2.240000009536743164e+00,6.367025375366210938e+00
2.279999971389770508e+00,7.253751754760742188e+00
2.319999933242797852e+00,8.344599723815917969e+00
2.360000133514404297e+00,9.401596069335937500e+00
2.400000095367431641e+00,1.041184711456298828e+01
2.440000057220458984e+00,1.154487800598144531e+01
2.480000019073486328e+00,1.285334205627441406e+01
2.519999980926513672e+00,1.440400695800781250e+01
2.559999942779541016e+00,1.609417152404785156e+01
2.599999904632568359e+00,1.761039924621582031e+01
2.639999866485595703e+00,1.806247138977050781e+01
2.679999828338623047e+00,1.957844924926757812e+01
2.720000028610229492e+00,2.120177078247070312e+01
2.759999990463256836e+00,2.294842338562011719e+01
2.799999952316284180e+00,2.482098007202148438e+01
2.840000152587890625e+00,2.674947738647460938e+01
2.880000114440917969e+00,2.840353202819824219e+01
2.920000076293945312e+00,3.013351058959960938e+01
2.960000038146972656e+00,3.195913505554199219e+01
3.000000000000000000e+00,3.377233505249023438e+01
3.039999961853027344e+00,3.472225189208984375e+01
3.079999923706054688e+00,3.638867187500000000e+01
3.119999885559082031e+00,3.808204269409179688e+01
3.159999847412109375e+00,3.940372085571289062e+01
3.199999809265136719e+00,4.074885559082031250e+01
3.240000009536743164e+00,4.211861419677734375e+01
3.279999971389770508e+00,4.303700637817382812e+01
3.319999933242797852e+00,4.592979431152343750e+01
3.360000133514404297e+00,4.898832702636718750e+01
3.400000095367431641e+00,5.219899368286132812e+01
3.440000057220458984e+00,5.429759597778320312e+01
3.480000019073486328e+00,5.566742324829101562e+01
3.519999980926513672e+00,5.328284835815429688e+01
3.559999942779541016e+00,5.463856506347656250e+01
3.599999904632568359e+00,5.604918289184570312e+01
3.639999866485595703e+00,5.747771453857421875e+01
3.679999828338623047e+00,5.892584609985351562e+01
3.719999790191650391e+00,5.844411087036132812e+01
3.759999752044677734e+00,5.992892456054687500e+01
3.800000190734863281e+00,6.121688461303710938e+01
3.840000152587890625e+00,6.237056350708007812e+01
3.880000114440917969e+00,6.352530670166015625e+01
3.920000076293945312e+00,6.500556945800781250e+01
3.960000038146972656e+00,6.660607910156250000e+01
4.000000000000000000e+00,6.718458557128906250e+01
4.039999961853027344e+00,6.874402618408203125e+01
4.079999923706054688e+00,7.032032012939453125e+01
4.119999885559082031e+00,7.189635467529296875e+01
4.159999847412109375e+00,7.347087097167968750e+01
4.199999809265136719e+00,7.481481170654296875e+01
4.239999771118164062e+00,7.616448974609375000e+01
4.279999732971191406e+00,7.752408599853515625e+01
4.320000171661376953e+00,7.543286132812500000e+01
4.360000133514404297e+00,7.559889984130859375e+01
4.400000095367431641e+00,7.679991912841796875e+01
4.440000057220458984e+00,7.800816345214843750e+01
4.480000019073486328e+00,7.923143768310546875e+01
4.519999980926513672e+00,8.044506072998046875e+01
4.559999942779541016e+00,8.165547943115234375e+01
4.599999904632568359e+00,8.031990051269531250e+01
4.639999866485595703e+00,8.143135833740234375e+01
4.679999828338623047e+00,8.242168426513671875e+01
4.719999790191650391e+00,8.341848754882812500e+01
4.759999752044677734e+00,8.441521453857421875e+01
4.799999713897705078e+00,8.541223144531250000e+01
4.840000152587890625e+00,8.640354156494140625e+01
4.880000114440917969e+00,8.739247131347656250e+01
4.920000076293945312e+00,8.721148681640625000e+01
4.960000038146972656e+00,8.820370483398437500e+01
5.000000000000000000e+00,8.917167663574218750e+01
5.039999961853027344e+00,9.013236999511718750e+01
5.079999923706054688e+00,9.099122619628906250e+01
5.119999885559082031e+00,9.183929443359375000e+01
5.159999847412109375e+00,9.268259429931640625e+01
5.199999809265136719e+00,9.351954650878906250e+01
5.239999771118164062e+00,9.435102844238281250e+01
5.279999732971191406e+00,9.518030548095703125e+01
5.320000171661376953e+00,9.601374053955078125e+01
5.360000133514404297e+00,9.684490966796875000e+01
5.400000095367431641e+00,9.767156982421875000e+01
5.440000057220458984e+00,9.849256896972656250e+01
5.480000019073486328e+00,9.931045532226562500e+01
5.519999980926513672e+00,1.001275558471679688e+02
5.559999942779541016e+00,1.008757476806640625e+02
5.599999904632568359e+00,1.015510025024414062e+02
5.639999866485595703e+00,1.022207031250000000e+02
5.679999828338623047e+00,1.028864059448242188e+02
5.719999790191650391e+00,1.035384902954101562e+02
5.759999752044677734e+00,1.041866836547851562e+02
5.799999713897705078e+00,1.048217163085937500e+02
5.839999675750732422e+00,1.054440841674804688e+02
5.879999637603759766e+00,1.060624084472656250e+02
5.919999599456787109e+00,1.066802139282226562e+02
5.960000038146972656e+00,1.072939453125000000e+02
6.000000000000000000e+00,1.078896484375000000e+02
6.039999961853027344e+00,1.084668731689453125e+02
6.079999923706054688e+00,1.090402069091796875e+02
6.119999885559082031e+00,1.095792770385742188e+02
6.159999847412109375e+00,1.100809936523437500e+02
6.199999809265136719e+00,1.105821304321289062e+02
6.239999771118164062e+00,1.110831298828125000e+02
6.279999732971191406e+00,1.115804901123046875e+02
6.319999694824218750e+00,1.120479736328125000e+02
6.359999656677246094e+00,1.125115432739257812e+02
6.399999618530273438e+00,1.129675292968750000e+02
6.439999580383300781e+00,1.134160919189453125e+02
6.480000019073486328e+00,1.138610382080078125e+02
6.519999980926513672e+00,1.143229675292968750e+02
6.559999942779541016e+00,1.147816085815429688e+02
6.599999904632568359e+00,1.152327957153320312e+02
6.639999866485595703e+00,1.156765594482421875e+02
6.679999828338623047e+00,1.161171188354492188e+02
6.719999790191650391e+00,1.165027770996093750e+02
6.759999752044677734e+00,1.168374099731445312e+02
6.799999713897705078e+00,1.171606445312500000e+02
6.839999675750732422e+00,1.174727020263671875e+02
6.879999637603759766e+00,1.177813415527343750e+02
6.919999599456787109e+00,1.181091308593750000e+02
6.959999561309814453e+00,1.184338150024414062e+02
7.000000000000000000e+00,1.187250366210937500e+02
7.039999961853027344e+00,1.189825134277343750e+02
7.079999923706054688e+00,1.192374496459960938e+02
7.119999885559082031e+00,1.188532485961914062e+02
7.159999847412109375e+00,1.190929718017578125e+02
7.199999809265136719e+00,1.193270263671875000e+02
7.239999771118164062e+00,1.195557250976562500e+02
7.279999732971191406e+00,1.197814559936523438e+02
7.319999694824218750e+00,1.200229797363281250e+02
7.359999656677246094e+00,1.202615585327148438e+02
7.399999618530273438e+00,1.204828720092773438e+02
7.439999580383300781e+00,1.206869354248046875e+02
7.479999542236328125e+00,1.208882751464843750e+02
7.519999980926513672e+00,1.210721206665039062e+02
7.559999942779541016e+00,1.212532119750976562e+02
7.599999904632568359e+00,1.214125900268554688e+02
7.639999866485595703e+00,1.215500259399414062e+02
7.679999828338623047e+00,1.216848907470703125e+02
7.719999790191650391e+00,1.218158493041992188e+02
7.759999752044677734e+00,1.219444198608398438e+02
7.799999713897705078e+00,1.220531692504882812e+02
7.839999675750732422e+00,1.221416625976562500e+02
7.879999637603759766e+00,1.222275848388671875e+02
7.919999599456787109e+00,1.223327560424804688e+02
7.959999561309814453e+00,1.224354324340820312e+02
7.999999523162841797e+00,1.225098571777343750e+02
8.039999961853027344e+00,1.225560073852539062e+02
8.079999923706054688e+00,1.225997619628906250e+02
8.119999885559082031e+00,1.226261825561523438e+02
8.159999847412109375e+00,1.226189041137695312e+02
8.199999809265136719e+00,1.225938186645507812e+02
8.239999771118164062e+00,1.225813446044921875e+02
8.279999732971191406e+00,1.226576843261718750e+02
8.319999694824218750e+00,1.227456359863281250e+02
8.359999656677246094e+00,1.228314208984375000e+02
8.399999618530273438e+00,1.228997116088867188e+02
8.439999580383300781e+00,1.229507980346679688e+02
8.479999542236328125e+00,1.229996490478515625e+02
8.520000457763671875e+00,1.230479431152343750e+02
8.560000419616699219e+00,1.230940322875976562e+02
8.600000381469726562e+00,1.231245422363281250e+02
8.640000343322753906e+00,1.231393585205078125e+02
8.680000305175781250e+00,1.231519775390625000e+02
8.720000267028808594e+00,1.231664886474609375e+02
8.760000228881835938e+00,1.231788940429687500e+02
8.800000190734863281e+00,1.231780776977539062e+02
8.840000152587890625e+00,1.231640930175781250e+02
8.880000114440917969e+00,1.231479187011718750e+02
8.920000076293945312e+00,1.231327209472656250e+02
8.960000038146972656e+00,1.230983276367187500e+02
9.000000000000000000e+00,1.230408401489257812e+02
9.039999961853027344e+00,1.229697799682617188e+02
9.079999923706054688e+00,1.228966827392578125e+02
9.119999885559082031e+00,1.228569030761718750e+02
9.159999847412109375e+00,1.228904647827148438e+02
9.199999809265136719e+00,1.229069976806640625e+02
9.239999771118164062e+00,1.229064483642578125e+02
9.279999732971191406e+00,1.229036407470703125e+02
9.319999694824218750e+00,1.228926849365234375e+02
9.359999656677246094e+00,1.228794631958007812e+02
9.399999618530273438e+00,1.228408889770507812e+02
9.439999580383300781e+00,1.227768783569335938e+02
9.479999542236328125e+00,1.227105636596679688e+02
9.519999504089355469e+00,1.226751098632812500e+02
9.560000419616699219e+00,1.226374282836914062e+02
9.600000381469726562e+00,1.224975204467773438e+02
9.640000343322753906e+00,1.222857589721679688e+02
9.680000305175781250e+00,1.221631851196289062e+02
9.720000267028808594e+00,1.220665817260742188e+02
9.760000228881835938e+00,1.219673995971679688e+02
9.800000190734863281e+00,1.216544036865234375e+02
9.840000152587890625e+00,1.211235580444335938e+02
9.880000114440917969e+00,1.205784606933593750e+02
9.920000076293945312e+00,1.200623703002929688e+02
9.960000038146972656e+00,1.197707061767578125e+02
1.000000000000000000e+01,1.182484359741210938e+02
1.003999996185302734e+01,1.153333053588867188e+02
1.007999992370605469e+01,1.124135971069335938e+02
1.011999988555908203e+01,1.094477462768554688e+02
1.015999984741210938e+01,1.064811477661132812e+02
1.019999980926513672e+01,1.032303314208984375e+02
1.023999977111816406e+01,1.035526351928710938e+02
1.027999973297119141e+01,1.038711166381835938e+02
1.032000064849853516e+01,1.042148666381835938e+02
1.036000061035156250e+01,1.045550613403320312e+02
1.040000057220458984e+01,1.053024826049804688e+02
1.044000053405761719e+01,1.062259063720703125e+02
1.048000049591064453e+01,1.064285507202148438e+02
1.052000045776367188e+01,1.066152114868164062e+02
1.056000041961669922e+01,1.067977447509765625e+02
1.060000038146972656e+01,1.066707916259765625e+02
1.064000034332275391e+01,1.062368087768554688e+02
1.068000030517578125e+01,1.058014678955078125e+02
1.072000026702880859e+01,1.053603668212890625e+02
1.076000022888183594e+01,1.049180831909179688e+02
1.080000019073486328e+01,1.044143829345703125e+02
1.084000015258789062e+01,1.038430328369140625e+02
1.088000011444091797e+01,1.032682418823242188e+02
1.092000007629394531e+01,1.026857147216796875e+02
1.096000003814697266e+01,1.021032791137695312e+02
1.100000000000000000e+01,1.014651870727539062e+02
1.103999996185302734e+01,1.007720947265625000e+02
1.107999992370605469e+01,1.000802230834960938e+02
1.111999988555908203e+01,1.000150222778320312e+02
1.115999984741210938e+01,9.994873046875000000e+01
1.119999980926513672e+01,9.963002777099609375e+01
1.123999977111816406e+01,9.905883026123046875e+01
1.127999973297119141e+01,9.848620605468750000e+01
1.131999969482421875e+01,9.786846160888671875e+01
1.136000061035156250e+01,9.725001525878906250e+01
1.140000057220458984e+01,9.618607330322265625e+01
1.144000053405761719e+01,9.467523193359375000e+01
1.148000049591064453e+01,9.316158294677734375e+01
1.152000045776367188e+01,9.161839294433593750e+01
1.156000041961669922e+01,8.805044555664062500e+01
1.160000038146972656e+01,8.698130798339843750e+01
1.164000034332275391e+01,8.671925354003906250e+01
1.168000030517578125e+01,8.645423889160156250e+01
1.172000026702880859e+01,8.619398498535156250e+01
1.176000022888183594e+01,8.592971801757812500e+01
1.180000019073486328e+01,8.558377838134765625e+01
1.184000015258789062e+01,8.515824890136718750e+01
1.188000011444091797e+01,8.473254394531250000e+01
1.192000007629394531e+01,8.427355957031250000e+01
1.196000003814697266e+01,8.381214904785156250e+01
1.200000000000000000e+01,8.329017639160156250e+01
1.203999996185302734e+01,8.270803070068359375e+01
1.207999992370605469e+01,8.231121826171875000e+01
1.211999988555908203e+01,8.246786499023437500e+01
1.215999984741210938e+01,8.262431335449218750e+01
1.219999980926513672e+01,8.273934936523437500e+01
1.223999977111816406e+01,8.281278228759765625e+01
1.227999973297119141e+01,8.288587951660156250e+01
1.231999969482421875e+01,8.295158386230468750e+01
