# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,8.530949950218200684e-01
1.639999985694885254e+00,1.164004087448120117e+00
1.680000066757202148e+00,1.584313392639160156e+00
1.720000028610229492e+00,2.151354074478149414e+00
1.759999990463256836e+00,2.872250080108642578e+00
1.799999952316284180e+00,3.571589946746826172e+00
1.840000033378601074e+00,1.955105066299438477e+00
1.879999995231628418e+00,2.466530323028564453e+00
1.920000076293945312e+00,3.188904285430908203e+00
1.960000038146972656e+00,3.987239837646484375e+00
2.000000000000000000e+00,4.897614955902099609e+00
2.039999961853027344e+00,5.965963840484619141e+00
2.079999923706054688e+00,7.260834693908691406e+00
2.119999885559082031e+00,6.487469673156738281e+00
2.160000085830688477e+00,7.492745399475097656e+00
2.200000047683715820e+00,7.738694190979003906e+00
2.240000009536743164e+00,8.812929153442382812e+00
2.279999971389770508e+00,1.006746864318847656e+01
2.319999933242797852e+00,1.161114120483398438e+01
2.360000133514404297e+00,1.309706497192382812e+01
2.400000095367431641e+00,1.451017856597900391e+01
2.440000057220458984e+00,1.611091423034667969e+01
2.480000019073486328e+00,1.798576736450195312e+01
2.519999980926513672e+00,2.025331687927246094e+01
2.559999942779541016e+00,2.273976707458496094e+01
2.599999904632568359e+00,2.497760200500488281e+01
2.639999866485595703e+00,2.531559753417968750e+01
2.679999828338623047e+00,2.753835296630859375e+01
2.720000028610229492e+00,2.993039512634277344e+01
2.759999990463256836e+00,3.251613235473632812e+01
2.799999952316284180e+00,3.529771804809570312e+01
2.840000152587890625e+00,3.816734313964843750e+01
2.880000114440917969e+00,4.062573623657226562e+01
2.920000076293945312e+00,4.319623565673828125e+01
2.960000038146972656e+00,4.591885375976562500e+01
3.000000000000000000e+00,4.883572006225585938e+01
3.039999961853027344e+00,5.040782165527343750e+01
3.079999923706054688e+00,5.333057785034179688e+01
3.119999885559082031e+00,5.635594177246093750e+01
3.159999847412109375e+00,5.884253311157226562e+01
3.199999809265136719e+00,6.140724182128906250e+01
3.240000009536743164e+00,6.405357360839843750e+01
3.279999971389770508e+00,6.585517120361328125e+01
3.319999933242797852e+00,6.969887542724609375e+01
3.360000133514404297e+00,7.373951721191406250e+01
3.400000095367431641e+00,7.796717834472656250e+01
3.440000057220458984e+00,8.102869415283203125e+01
3.480000019073486328e+00,8.315409088134765625e+01
3.519999980926513672e+00,8.318701934814453125e+01
3.559999942779541016e+00,8.533672332763671875e+01
3.599999904632568359e+00,8.752918243408203125e+01
3.639999866485595703e+00,8.974246215820312500e+01
3.679999828338623047e+00,9.198347473144531250e+01
3.719999790191650391e+00,9.312501525878906250e+01
3.759999752044677734e+00,9.542746734619140625e+01
3.800000190734863281e+00,9.741751861572265625e+01
3.840000152587890625e+00,9.917391967773437500e+01
3.880000114440917969e+00,1.009328079223632812e+02
3.920000076293945312e+00,1.032756500244140625e+02
3.960000038146972656e+00,1.058426971435546875e+02
4.000000000000000000e+00,1.077975006103515625e+02
4.039999961853027344e+00,1.103145294189453125e+02
4.079999923706054688e+00,1.128654098510742188e+02
4.119999885559082031e+00,1.154519577026367188e+02
4.159999847412109375e+00,1.180405578613281250e+02
4.199999809265136719e+00,1.202433853149414062e+02
4.239999771118164062e+00,1.224602203369140625e+02
4.279999732971191406e+00,1.246962432861328125e+02
4.320000171661376953e+00,1.248611373901367188e+02
4.360000133514404297e+00,1.261448669433593750e+02
4.400000095367431641e+00,1.279882354736328125e+02
4.440000057220458984e+00,1.298389434814453125e+02
4.480000019073486328e+00,1.317026824951171875e+02
4.519999980926513672e+00,1.335775451660156250e+02
4.559999942779541016e+00,1.354560241699218750e+02
4.599999904632568359e+00,1.356090393066406250e+02
4.639999866485595703e+00,1.371699829101562500e+02
4.679999828338623047e+00,1.386575622558593750e+02
4.719999790191650391e+00,1.401432495117187500e+02
4.759999752044677734e+00,1.416300354003906250e+02
4.799999713897705078e+00,1.431137390136718750e+02
4.840000152587890625e+00,1.445911865234375000e+02
4.880000114440917969e+00,1.460666809082031250e+02
4.920000076293945312e+00,1.468197784423828125e+02
4.960000038146972656e+00,1.482975616455078125e+02
5.000000000000000000e+00,1.497373657226562500e+02
5.039999961853027344e+00,1.512649230957031250e+02
5.079999923706054688e+00,1.526800537109375000e+02
5.119999885559082031e+00,1.540929565429687500e+02
5.159999847412109375e+00,1.555036163330078125e+02
5.199999809265136719e+00,1.569092102050781250e+02
5.239999771118164062e+00,1.583110198974609375e+02
