m,ra_sun_0,dec_sun_0,rho_0,N_data,N_sig_lim_poisson,S_0_lim_poisson,N_sig_lim_yellin,S_0_lim_yellin
3.2,2.9787281531099743,0.0701782971480805,295.2759734340805,12250,12392.557184759362,41.96940591079268,6929.513121229092,23.467920673119327
3.3000000000000003,2.9787281531099743,0.0701782971480805,397.27448418162646,13232,13379.542530499162,33.678333402309036,7880.5249207317775,19.83647386004521
3.4000000000000004,2.9787281531099743,0.0701782971480805,512.2312147120365,14257,14410.58418340592,28.13296763163328,9978.268151995351,19.480007983513623
3.5000000000000004,2.9787281531099743,0.0701782971480805,642.9005846380404,16275,16439.25601003595,25.570448064363514,11612.27404041398,18.06231681520683
3.6000000000000005,2.9787281531099743,0.0701782971480805,782.0742647802435,17225,17392.515682464487,22.238956663983366,11818.85656639911,15.112192151879736
3.7000000000000006,2.9787281531099743,0.0701782971480805,934.643989696591,18269,18441.77240734151,19.731333652857675,12097.029461081129,12.942927568611584
3.8000000000000007,2.9787281531099743,0.0701782971480805,1103.055027248647,19262,19439.401369510266,17.623238088128762,14182.73928312552,12.857689718799943
3.900000000000001,2.9787281531099743,0.0701782971480805,1297.185171729103,20826,21010.830752911283,16.19724863560117,14111.34012119473,10.878431567626386
4.000000000000001,2.9787281531099743,0.0701782971480805,1505.7516141865656,20936,21119.481262365454,14.025873233929477,12912.188620835186,8.575244747660845
4.100000000000001,2.9787281531099743,0.0701782971480805,1736.5945170197192,21074,21260.00075610188,12.242351653043062,11573.455110446732,6.664454480893259
4.200000000000001,2.9787281531099743,0.0701782971480805,1992.5097816800103,20124,20306.874108195057,10.191605730072279,14793.286090475633,7.42444841500476
4.300000000000001,2.9787281531099743,0.0701782971480805,2291.8320825697165,19367,19543.525510459494,8.527468333782254,13857.516528287157,6.046479859357505
4.400000000000001,2.9787281531099743,0.0701782971480805,2617.8417333105526,18511,18684.553101683872,7.137388354663891,8691.843109734016,3.3202324644516277
4.500000000000002,2.9787281531099743,0.0701782971480805,2987.149403514577,17607,17777.98350147399,5.951487890279953,11561.289541955632,3.870341914720776
4.600000000000001,2.9787281531099743,0.0701782971480805,3403.511254587537,15734,15894.322196241776,4.669977857372465,4968.828860131446,1.4599125692427322
4.700000000000001,2.9787281531099743,0.0701782971480805,3890.275629685071,14940,15095.301387524412,3.8802652625275345,2485.328024323748,0.6388565389452733
4.800000000000002,2.9787281531099743,0.0701782971480805,4412.749310483568,14023,14173.643818708459,3.2119757596552097,1888.5862692222477,0.42798403814498326
4.900000000000002,2.9787281531099743,0.0701782971480805,4982.034910032628,13104,13249.55285598969,2.6594660806788517,1887.6435248819096,0.3788900637931393
5.000000000000002,2.9787281531099743,0.0701782971480805,5591.394268895977,11214,11350.122530900418,2.029927060239575,1548.4334115309132,0.2769315374779772
5.100000000000001,2.9787281531099743,0.0701782971480805,6266.722915398105,10388,10518.655208943903,1.6784937440106502,1450.398173433896,0.23144443962411204
5.200000000000002,2.9787281531099743,0.0701782971480805,6959.167738298613,9549,9674.752337569016,1.3902168623304823,1887.0506720160547,0.2711603948890307
5.3000000000000025,2.9787281531099743,0.0701782971480805,7687.412994243759,8626,8745.797510344144,1.1376775928251663,1806.8441278476264,0.2350392946496525
5.400000000000002,2.9787281531099743,0.0701782971480805,8447.25023314395,6741,6846.653585516462,0.8105186180767646,1768.4477438542024,0.20935188316257686
5.500000000000002,2.9787281531099743,0.0701782971480805,9276.342928599646,6023,6123.47388425783,0.6601172392386131,1190.899240378704,0.12838025173768364
5.600000000000002,2.9787281531099743,0.0701782971480805,10111.598431125218,4990,5081.092012913988,0.5025013648953387,1386.902565775074,0.1371595772144147
5.700000000000003,2.9787281531099743,0.0701782971480805,10973.990994656053,4009,4090.6857505394173,0.3727619015298479,1447.3125725689547,0.131885708059515
5.8000000000000025,2.9787281531099743,0.0701782971480805,11851.699047503622,2454,2518.569916453245,0.21250707652619164,1810.852710811078,0.15279266741020614
5.900000000000002,2.9787281531099743,0.0701782971480805,12792.956029606414,2376,2439.5733088699803,0.19069660704094799,1773.1060877830932,0.1386001862024413
6.000000000000003,2.9787281531099743,0.0701782971480805,13716.300832167755,2248,2309.689688875096,0.1683901306289786,1624.1205862835543,0.11840806104767204
6.100000000000003,2.9787281531099743,0.0701782971480805,14650.426761909934,2140,2200.4597303282644,0.15019765404031116,1240.677696331928,0.08468543043111902
6.200000000000003,2.9787281531099743,0.0701782971480805,15581.886385566218,1887,1943.5373267797877,0.12473055435573714,1298.194882662765,0.0833143594132034
6.3000000000000025,2.9787281531099743,0.0701782971480805,16575.150573147817,1795,1850.2596260709986,0.11162852596153595,694.8905963146583,0.0419236370280943
6.400000000000003,2.9787281531099743,0.0701782971480805,17534.90878394708,1688,1741.7764324548766,0.09933193573549946,378.7564098603319,0.02160013573649594
6.500000000000004,2.9787281531099743,0.0701782971480805,18488.834311567254,1600,1652.3885659455009,0.08937224154319505,235.9554406102387,0.012762050686052004
6.600000000000003,2.9787281531099743,0.0701782971480805,19408.60578847377,1357,1405.3725867347646,0.07240976513466908,198.03873966983969,0.010203656142444263
6.700000000000003,2.9787281531099743,0.0701782971480805,20362.168879743826,1269,1315.68278286003,0.06461407871775704,202.4521364655974,0.009942562487387858
6.800000000000003,2.9787281531099743,0.0701782971480805,21232.14011743208,1136,1180.4041299085202,0.05559515542850911,189.378204930166,0.008919411980268634
6.900000000000004,2.9787281531099743,0.0701782971480805,22049.51568499149,1027,1069.227920104955,0.04849212723673335,189.1939848864596,0.008580414535600836
7.000000000000004,2.9787281531099743,0.0701782971480805,22791.689369609343,830,868.1392381316798,0.03809016629058068,121.99161917444772,0.005352460591934555
7.100000000000003,2.9787281531099743,0.0701782971480805,23562.463443411303,713,748.3568548400146,0.031760552398831424,202.57671853485795,0.008597433753961062
7.200000000000004,2.9787281531099743,0.0701782971480805,24252.939971151096,618,651.0706774519666,0.026845020777951707,181.22996044639945,0.007472494496006369
7.300000000000004,2.9787281531099743,0.0701782971480805,24921.526097963342,491,520.6035977462957,0.02088971581033478,180.86160686825636,0.007257244446319718
7.400000000000004,2.9787281531099743,0.0701782971480805,25554.618964419315,262,283.938662498085,0.011111050526459573,173.43230481836596,0.00678673022125051
7.5000000000000036,2.9787281531099743,0.0701782971480805,26279.5709640813,258,279.7850264900981,0.010646483798099519,181.22996044639945,0.006896229801243828
7.600000000000004,2.9787281531099743,0.0701782971480805,26965.65895268234,249,270.4607954768473,0.010029823337580403,178.0031394025487,0.006601104750115602
7.700000000000005,2.9787281531099743,0.0701782971480805,27665.05540284912,247,268.3763780451456,0.009700915980002214,176.57339531096196,0.006382542624251435
7.800000000000004,2.9787281531099743,0.0701782971480805,28343.18976028647,220,240.25022697506196,0.00847647103261795,155.3745900079237,0.005481902048499474
7.900000000000004,2.9787281531099743,0.0701782971480805,29130.82311940632,216,236.03898032163045,0.008102722650647877,151.9952428722074,0.005217677586698588
8.000000000000004,2.9787281531099743,0.0701782971480805,29870.70817342237,213,232.9290590186558,0.007797908829824991,123.2820933034672,0.004127190175328958
8.100000000000005,2.9787281531099743,0.0701782971480805,30603.0849709962,199,218.30485314364515,0.007133426363732337,86.71615240918298,0.0028335755199636716
8.200000000000005,2.9787281531099743,0.0701782971480805,31278.0953173814,186,204.7119105068799,0.0065448969455988715,66.60395212984228,0.0021294120199457965
8.300000000000004,2.9787281531099743,0.0701782971480805,32027.422206077747,180,198.4371478333314,0.006195851372505234,57.10182648382972,0.0017829042286454661
8.400000000000006,2.9787281531099743,0.0701782971480805,32679.94413307489,164,181.64464212109343,0.005558291084630514,57.10182648382972,0.0017473048990324866
8.500000000000005,2.9787281531099743,0.0701782971480805,33286.16437656814,161,178.4935455013835,0.005362394521702067,65.15533768879443,0.0019574300286355813
8.600000000000005,2.9787281531099743,0.0701782971480805,33806.82287086538,143,159.55191790211893,0.004719518261493313,63.73823014383464,0.0018853658738444796
8.700000000000005,2.9787281531099743,0.0701782971480805,34405.86198326599,142,158.49734810292233,0.0046066960385997835,68.08477396744813,0.0019788713330467517
8.800000000000004,2.9787281531099743,0.0701782971480805,34919.066876184384,134,150.08654609925924,0.004298125910163474,72.72772456558234,0.002082751089067169
8.900000000000006,2.9787281531099743,0.0701782971480805,35412.94915212384,121,136.35194791153634,0.0038503415043409013,66.60395212984228,0.001880779594032987
9.000000000000005,2.9787281531099743,0.0701782971480805,35848.088473374824,101,115.11730435968055,0.0032112536333752002,66.60395212984228,0.0018579498926228808
9.100000000000003,2.9787281531099743,0.0701782971480805,36398.06874201626,100,114.06189206392084,0.003133734728410275,57.10182648382972,0.001568814732687012
