r_1,r_2,r_3,r_4
0.7221092147163403,0.8892799829256871,0.3189491436442881,0.1397084493948351
0.809258132037283,0.06151407360189174,0.002249396131881452,0.17328554472211888
0.017413941919384716,0.8886228604406143,0.11612405788051754,0.33507689469105084
0.955928470469542,0.2279930732829158,0.5047049736529662,0.47914700345570344
0.06698531863704103,0.8233580433798808,0.013951326580360095,0.6377937450464967
0.0028700644332390114,0.9476532028826188,0.5043174116099136,0.6517063417403075
0.7266255933876744,0.25213496266147684,0.8878894290805044,0.7097674944627095
0.3074688175618173,0.5912808608997612,0.9937438862362871,0.9002340970120863
0.9734732654940579,0.04110224427598297,0.8887111035310716,0.15202487660701336
0.8227693522232541,0.9969164505737346,0.9937522504862737,0.22129467181042872
0.8869563601918606,0.5642286198626459,0.9748686177601087,0.5012475604164106
0.6221632484753723,0.10953676969757539,0.5038870985595582,0.5284613337549446
0.6780170079770572,0.10469189659085502,0.31867691005733234,0.8117943772239606
0.013212693845990426,0.6337180896143371,0.9563851488751928,0.8632759256706227
