r_1,r_2,r_3,r_4
0.7888356467025215,0.1316058376816415,0.6090378521838814,0.1482697422630457
0.9941618520256459,0.931604807046731,0.9330993556799105,0.14329253330445418
0.672733726079553,0.2122899449414525,0.4186184352383517,0.1755623930472689
0.5036689034506076,0.10637752022057907,0.697820403928348,0.34630076955137895
0.68185316620172,0.7659400118818667,0.9892920015876983,0.1528394356179382
0.19185205455979618,0.04917572316360703,0.326710194046245,0.157471485287729
0.829740400689904,0.1463741776868478,0.17635513137298972,0.17915776769544053
0.8678052780310158,0.4472439258704949,0.006479456421710917,0.19002886373936065
0.6762455832505901,0.586149241875115,0.0022579839298968872,0.1605033935166572
0.24882197208681464,0.6217298991906385,0.006335513834029422,0.1723104158323416
0.8707750998164221,0.5023869218060597,0.12259480253253209,0.20595336201424888
0.7272210566553172,0.04350777851454886,0.41948915016950455,0.19941301159505148
0.6066268061177632,0.05550253940948966,0.013972072406355408,0.21440251054013112
0.9962039780594987,0.08159866245339661,0.24613204802844849,0.21186049130312665
0.3782758436794548,0.9750055013200265,0.002152302394471322,0.19707921000282536
0.5709605736903891,0.24505538458299453,0.07826469648974842,0.3827892240980597
0.9452169517490323,0.18609220856293202,0.1764781221671789,0.22708738131174958
0.7744548293402101,0.20635939517775062,0.7760821003331635,0.264677213864231
0.9960241758390316,0.5720865089419269,0.4209161615469377,0.27274878145581
0.03970673897245573,0.11718358889855864,0.02621538084816029,0.24886451169010942
0.874873859844207,0.44603159516397506,0.3293351900734399,0.2820427550276813
0.8019633431908062,0.20770851546683047,0.8936822743405359,0.2933049021562177
0.949650800263987,0.23615246513477053,0.047687047729495474,0.2910415030945828
0.9563247308166799,0.6300748666489498,0.5169064921434977,0.3057442029865776
0.6858372948938672,0.963077090454185,0.9780181618388084,0.27776634337344946
0.11106746130743966,0.8989634500963783,0.0021576341421633773,0.2955486842788189
0.6455165884877376,0.6770962809795184,0.014198350175537625,0.2993260189587558
0.9921901348587611,0.5213327013366245,0.04794584679182386,0.33411726196947045
0.6719804113603454,0.13402774296280812,0.027051649526797235,0.3449434245343984
0.6616005708406485,0.18008419743145046,0.8936492898833905,0.3527445766301877
0.9606749672537109,0.8207599362230077,0.8436370018362921,0.3179230385341959
0.9500396678599725,0.06367559722650103,0.8423534358003383,0.34879857575313483
