# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.296959877014160156e-01
1.639999985694885254e+00,7.192514538764953613e-01
1.680000066757202148e+00,9.738540053367614746e-01
1.720000028610229492e+00,1.315101742744445801e+00
1.759999990463256836e+00,1.747514843940734863e+00
1.799999952316284180e+00,2.169767379760742188e+00
1.840000033378601074e+00,1.332489132881164551e+00
1.879999995231628418e+00,1.667063593864440918e+00
1.920000076293945312e+00,2.139626979827880859e+00
1.960000038146972656e+00,2.663906574249267578e+00
2.000000000000000000e+00,3.261161804199218750e+00
2.039999961853027344e+00,3.959219455718994141e+00
2.079999923706054688e+00,4.801593303680419922e+00
2.119999885559082031e+00,4.157799243927001953e+00
2.160000085830688477e+00,4.795513153076171875e+00
2.200000047683715820e+00,4.896977424621582031e+00
2.240000009536743164e+00,5.562365531921386719e+00
2.279999971389770508e+00,6.337054252624511719e+00
2.319999933242797852e+00,7.290276050567626953e+00
2.360000133514404297e+00,8.210494041442871094e+00
2.400000095367431641e+00,9.089803695678710938e+00
2.440000057220458984e+00,1.008700656890869141e+01
2.480000019073486328e+00,1.125930976867675781e+01
2.519999980926513672e+00,1.268210983276367188e+01
2.559999942779541016e+00,1.423990726470947266e+01
2.599999904632568359e+00,1.565399265289306641e+01
2.639999866485595703e+00,1.578121566772460938e+01
2.679999828338623047e+00,1.718394470214843750e+01
2.720000028610229492e+00,1.869322586059570312e+01
2.759999990463256836e+00,2.032373619079589844e+01
2.799999952316284180e+00,2.207571601867675781e+01
2.840000152587890625e+00,2.388618087768554688e+01
2.880000114440917969e+00,2.546085929870605469e+01
2.920000076293945312e+00,2.710804367065429688e+01
2.960000038146972656e+00,2.885237884521484375e+01
3.000000000000000000e+00,3.063273429870605469e+01
3.039999961853027344e+00,3.138406372070312500e+01
3.079999923706054688e+00,3.302986526489257812e+01
3.119999885559082031e+00,3.471126174926757812e+01
3.159999847412109375e+00,3.606228637695312500e+01
3.199999809265136719e+00,3.744094848632812500e+01
3.240000009536743164e+00,3.884863662719726562e+01
3.279999971389770508e+00,3.967383193969726562e+01
3.319999933242797852e+00,4.237033462524414062e+01
3.360000133514404297e+00,4.522311782836914062e+01
3.400000095367431641e+00,4.822037506103515625e+01
3.440000057220458984e+00,5.025524139404296875e+01
3.480000019073486328e+00,5.163965225219726562e+01
3.519999980926513672e+00,4.993046188354492188e+01
3.559999942779541016e+00,5.129995346069335938e+01
3.599999904632568359e+00,5.271749877929687500e+01
3.639999866485595703e+00,5.415219497680664062e+01
3.679999828338623047e+00,5.560604095458984375e+01
3.719999790191650391e+00,5.545668792724609375e+01
3.759999752044677734e+00,5.695325088500976562e+01
3.800000190734863281e+00,5.826606750488281250e+01
3.840000152587890625e+00,5.945079040527343750e+01
3.880000114440917969e+00,6.063685989379882812e+01
3.920000076293945312e+00,6.212353515625000000e+01
3.960000038146972656e+00,6.372550201416015625e+01
4.000000000000000000e+00,6.446176910400390625e+01
4.039999961853027344e+00,6.602638244628906250e+01
4.079999923706054688e+00,6.760830688476562500e+01
4.119999885559082031e+00,6.920850372314453125e+01
4.159999847412109375e+00,7.080856323242187500e+01
4.199999809265136719e+00,7.218740844726562500e+01
4.239999771118164062e+00,7.357260131835937500e+01
4.279999732971191406e+00,7.496786499023437500e+01
4.320000171661376953e+00,7.338301849365234375e+01
4.360000133514404297e+00,7.370836639404296875e+01
4.400000095367431641e+00,7.491802215576171875e+01
4.440000057220458984e+00,7.613384246826171875e+01
4.480000019073486328e+00,7.736231994628906250e+01
4.519999980926513672e+00,7.860723876953125000e+01
4.559999942779541016e+00,7.985013580322265625e+01
4.599999904632568359e+00,7.887358093261718750e+01
4.639999866485595703e+00,8.000338745117187500e+01
4.679999828338623047e+00,8.102863311767578125e+01
4.719999790191650391e+00,8.205215454101562500e+01
4.759999752044677734e+00,8.307561492919921875e+01
4.799999713897705078e+00,8.409849548339843750e+01
4.840000152587890625e+00,8.511563110351562500e+01
4.880000114440917969e+00,8.613020324707031250e+01
4.920000076293945312e+00,8.611617279052734375e+01
4.960000038146972656e+00,8.712333679199218750e+01
5.000000000000000000e+00,8.810626983642578125e+01
5.039999961853027344e+00,8.908974456787109375e+01
5.079999923706054688e+00,8.997789001464843750e+01
5.119999885559082031e+00,9.086447143554687500e+01
5.159999847412109375e+00,9.174629211425781250e+01
5.199999809265136719e+00,9.262190246582031250e+01
5.239999771118164062e+00,9.349216461181640625e+01
5.279999732971191406e+00,9.436006164550781250e+01
5.320000171661376953e+00,9.522463989257812500e+01
5.360000133514404297e+00,9.608683776855468750e+01
5.400000095367431641e+00,9.694446563720703125e+01
5.440000057220458984e+00,9.779653930664062500e+01
5.480000019073486328e+00,9.864545440673828125e+01
5.519999980926513672e+00,9.949415588378906250e+01
5.559999942779541016e+00,1.002742919921875000e+02
5.599999904632568359e+00,1.009818649291992188e+02
5.639999866485595703e+00,1.016844863891601562e+02
5.679999828338623047e+00,1.023830184936523438e+02
5.719999790191650391e+00,1.030742187500000000e+02
5.759999752044677734e+00,1.037613677978515625e+02
5.799999713897705078e+00,1.044353942871093750e+02
5.839999675750732422e+00,1.050969085693359375e+02
5.879999637603759766e+00,1.057544174194335938e+02
5.919999599456787109e+00,1.064110794067382812e+02
5.960000038146972656e+00,1.070636749267578125e+02
6.000000000000000000e+00,1.076933288574218750e+02
6.039999961853027344e+00,1.082994308471679688e+02
6.079999923706054688e+00,1.089015045166015625e+02
6.119999885559082031e+00,1.094472885131835938e+02
6.159999847412109375e+00,1.099554443359375000e+02
6.199999809265136719e+00,1.104628753662109375e+02
6.239999771118164062e+00,1.109699096679687500e+02
6.279999732971191406e+00,1.114729003906250000e+02
6.319999694824218750e+00,1.119731292724609375e+02
6.359999656677246094e+00,1.124692993164062500e+02
6.399999618530273438e+00,1.129580688476562500e+02
6.439999580383300781e+00,1.134395370483398438e+02
6.480000019073486328e+00,1.139171752929687500e+02
6.519999980926513672e+00,1.143926925659179688e+02
6.559999942779541016e+00,1.148646240234375000e+02
6.599999904632568359e+00,1.153292541503906250e+02
6.639999866485595703e+00,1.157866439819335938e+02
6.679999828338623047e+00,1.162406005859375000e+02
6.719999790191650391e+00,1.166688156127929688e+02
6.759999752044677734e+00,1.170459136962890625e+02
6.799999713897705078e+00,1.174123306274414062e+02
6.839999675750732422e+00,1.177682952880859375e+02
6.879999637603759766e+00,1.181208572387695312e+02
6.919999599456787109e+00,1.184691009521484375e+02
6.959999561309814453e+00,1.188139877319335938e+02
7.000000000000000000e+00,1.191270980834960938e+02
7.039999961853027344e+00,1.194080963134765625e+02
7.079999923706054688e+00,1.196865463256835938e+02
7.119999885559082031e+00,1.193461074829101562e+02
7.159999847412109375e+00,1.196319046020507812e+02
7.199999809265136719e+00,1.199148406982421875e+02
7.239999771118164062e+00,1.201952819824218750e+02
7.279999732971191406e+00,1.204727401733398438e+02
7.319999694824218750e+00,1.207285842895507812e+02
7.359999656677246094e+00,1.209813003540039062e+02
7.399999618530273438e+00,1.212194671630859375e+02
7.439999580383300781e+00,1.214430465698242188e+02
7.479999542236328125e+00,1.216637878417968750e+02
7.519999980926513672e+00,1.218819580078125000e+02
