# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.024693012237548828e-01
1.639999985694885254e+00,6.960304379463195801e-01
1.680000066757202148e+00,9.607939720153808594e-01
1.720000028610229492e+00,1.321932315826416016e+00
1.759999990463256836e+00,1.786792039871215820e+00
1.799999952316284180e+00,2.248872756958007812e+00
1.840000033378601074e+00,1.245532155036926270e+00
1.879999995231628418e+00,1.586455821990966797e+00
1.920000076293945312e+00,2.066523790359497070e+00
1.960000038146972656e+00,2.601941585540771484e+00
2.000000000000000000e+00,3.216155529022216797e+00
2.039999961853027344e+00,3.939730167388916016e+00
2.079999923706054688e+00,4.819625377655029297e+00
2.119999885559082031e+00,4.331638336181640625e+00
2.160000085830688477e+00,5.029462337493896484e+00
2.200000047683715820e+00,5.223014354705810547e+00
2.240000009536743164e+00,5.977631568908691406e+00
2.279999971389770508e+00,6.860565185546875000e+00
2.319999933242797852e+00,7.945734500885009766e+00
2.360000133514404297e+00,8.998021125793457031e+00
2.400000095367431641e+00,1.000615310668945312e+01
2.440000057220458984e+00,1.114929580688476562e+01
2.480000019073486328e+00,1.248816776275634766e+01
2.519999980926513672e+00,1.410680103302001953e+01
2.559999942779541016e+00,1.588630580902099609e+01
2.599999904632568359e+00,1.750023269653320312e+01
2.639999866485595703e+00,1.779059028625488281e+01
2.679999828338623047e+00,1.940462684631347656e+01
2.720000028610229492e+00,2.114233207702636719e+01
2.759999990463256836e+00,2.302285766601562500e+01
2.799999952316284180e+00,2.504862594604492188e+01
2.840000152587890625e+00,2.714237213134765625e+01
2.880000114440917969e+00,2.894835472106933594e+01
2.920000076293945312e+00,3.084360313415527344e+01
2.960000038146972656e+00,3.285246276855468750e+01
3.000000000000000000e+00,3.503534698486328125e+01
3.039999961853027344e+00,3.629299926757812500e+01
3.079999923706054688e+00,3.852934646606445312e+01
3.119999885559082031e+00,4.084679412841796875e+01
3.159999847412109375e+00,4.278405380249023438e+01
3.199999809265136719e+00,4.478697967529296875e+01
3.240000009536743164e+00,4.685869598388671875e+01
3.279999971389770508e+00,4.832215881347656250e+01
3.319999933242797852e+00,5.098177337646484375e+01
3.360000133514404297e+00,5.376750564575195312e+01
3.400000095367431641e+00,5.667447280883789062e+01
3.440000057220458984e+00,5.892367172241210938e+01
3.480000019073486328e+00,6.056144332885742188e+01
3.519999980926513672e+00,5.888241577148437500e+01
3.559999942779541016e+00,6.051795959472656250e+01
3.599999904632568359e+00,6.220937347412109375e+01
3.639999866485595703e+00,6.392340087890625000e+01
3.679999828338623047e+00,6.566297912597656250e+01
3.719999790191650391e+00,6.567496490478515625e+01
3.759999752044677734e+00,6.747074890136718750e+01
3.800000190734863281e+00,6.904204559326171875e+01
3.840000152587890625e+00,7.045511627197265625e+01
3.880000114440917969e+00,7.187240600585937500e+01
3.920000076293945312e+00,7.365848541259765625e+01
3.960000038146972656e+00,7.558850097656250000e+01
4.000000000000000000e+00,7.658097076416015625e+01
4.039999961853027344e+00,7.847324371337890625e+01
4.079999923706054688e+00,8.038944244384765625e+01
4.119999885559082031e+00,8.233111572265625000e+01
4.159999847412109375e+00,8.427482604980468750e+01
4.199999809265136719e+00,8.594339752197265625e+01
4.239999771118164062e+00,8.762221527099609375e+01
4.279999732971191406e+00,8.931555175781250000e+01
4.320000171661376953e+00,8.776936340332031250e+01
4.360000133514404297e+00,8.826608276367187500e+01
4.400000095367431641e+00,8.971824645996093750e+01
4.440000057220458984e+00,9.117912292480468750e+01
4.480000019073486328e+00,9.265596008300781250e+01
4.519999980926513672e+00,9.414343261718750000e+01
4.559999942779541016e+00,9.563058471679687500e+01
4.599999904632568359e+00,9.466661071777343750e+01
4.639999866485595703e+00,9.599705505371093750e+01
4.679999828338623047e+00,9.721389770507812500e+01
4.719999790191650391e+00,9.843084716796875000e+01
4.759999752044677734e+00,9.964875793457031250e+01
4.799999713897705078e+00,1.008669967651367188e+02
4.840000152587890625e+00,1.020800094604492188e+02
4.880000114440917969e+00,1.032912292480468750e+02
4.920000076293945312e+00,1.033818130493164062e+02
4.960000038146972656e+00,1.045926666259765625e+02
5.000000000000000000e+00,1.057760620117187500e+02
5.039999961853027344e+00,1.070199279785156250e+02
5.079999923706054688e+00,1.081823577880859375e+02
5.119999885559082031e+00,1.093390197753906250e+02
5.159999847412109375e+00,1.104930343627929688e+02
5.199999809265136719e+00,1.116428222656250000e+02
5.239999771118164062e+00,1.127893981933593750e+02
5.279999732971191406e+00,1.139359588623046875e+02
5.320000171661376953e+00,1.150894775390625000e+02
5.360000133514404297e+00,1.162431716918945312e+02
5.400000095367431641e+00,1.173946533203125000e+02
5.440000057220458984e+00,1.185428466796875000e+02
5.480000019073486328e+00,1.196903381347656250e+02
5.519999980926513672e+00,1.208332519531250000e+02
5.559999942779541016e+00,1.218919372558593750e+02
5.599999904632568359e+00,1.228616409301757812e+02
5.639999866485595703e+00,1.238279418945312500e+02
5.679999828338623047e+00,1.247917633056640625e+02
5.719999790191650391e+00,1.257498092651367188e+02
5.759999752044677734e+00,1.267053527832031250e+02
5.799999713897705078e+00,1.276478729248046875e+02
5.839999675750732422e+00,1.285780487060546875e+02
5.879999637603759766e+00,1.295056457519531250e+02
5.919999599456787109e+00,1.304385375976562500e+02
5.960000038146972656e+00,1.313688812255859375e+02
6.000000000000000000e+00,1.322254638671875000e+02
6.039999961853027344e+00,1.330066223144531250e+02
6.079999923706054688e+00,1.337840728759765625e+02
6.119999885559082031e+00,1.344861145019531250e+02
6.159999847412109375e+00,1.351406555175781250e+02
6.199999809265136719e+00,1.357959289550781250e+02
6.239999771118164062e+00,1.364522705078125000e+02
6.279999732971191406e+00,1.371046142578125000e+02
6.319999694824218750e+00,1.377610778808593750e+02
6.359999656677246094e+00,1.384135894775390625e+02
6.399999618530273438e+00,1.390591125488281250e+02
6.439999580383300781e+00,1.396977539062500000e+02
6.480000019073486328e+00,1.403326721191406250e+02
6.519999980926513672e+00,1.409596862792968750e+02
6.559999942779541016e+00,1.415831604003906250e+02
6.599999904632568359e+00,1.422001037597656250e+02
6.639999866485595703e+00,1.428105468750000000e+02
6.679999828338623047e+00,1.434176788330078125e+02
6.719999790191650391e+00,1.439914245605468750e+02
6.759999752044677734e+00,1.445000000000000000e+02
6.799999713897705078e+00,1.449987030029296875e+02
6.839999675750732422e+00,1.454877929687500000e+02
6.879999637603759766e+00,1.459734497070312500e+02
6.919999599456787109e+00,1.464564056396484375e+02
6.959999561309814453e+00,1.469360046386718750e+02
7.000000000000000000e+00,1.474037780761718750e+02
7.039999961853027344e+00,1.478596343994140625e+02
7.079999923706054688e+00,1.483131866455078125e+02
7.119999885559082031e+00,1.479766387939453125e+02
7.159999847412109375e+00,1.484169769287109375e+02
7.199999809265136719e+00,1.488596801757812500e+02
7.239999771118164062e+00,1.493052368164062500e+02
7.279999732971191406e+00,1.497479705810546875e+02
7.319999694824218750e+00,1.501897583007812500e+02
7.359999656677246094e+00,1.506287231445312500e+02
7.399999618530273438e+00,1.510583343505859375e+02
7.439999580383300781e+00,1.514785461425781250e+02
7.479999542236328125e+00,1.518962707519531250e+02
7.519999980926513672e+00,1.523092041015625000e+02
7.559999942779541016e+00,1.527195739746093750e+02
7.599999904632568359e+00,1.531208343505859375e+02
7.639999866485595703e+00,1.535127258300781250e+02
7.679999828338623047e+00,1.539023132324218750e+02
7.719999790191650391e+00,1.543097229003906250e+02
7.759999752044677734e+00,1.547152099609375000e+02
7.799999713897705078e+00,1.551109161376953125e+02
