# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,7.049325108528137207e-01
1.639999985694885254e+00,9.787764549255371094e-01
1.680000066757202148e+00,1.354107856750488281e+00
1.720000028610229492e+00,1.867041230201721191e+00
1.759999990463256836e+00,2.528732538223266602e+00
1.799999952316284180e+00,3.189889669418334961e+00
1.840000033378601074e+00,1.770908594131469727e+00
1.879999995231628418e+00,2.258867502212524414e+00
1.920000076293945312e+00,2.943798303604125977e+00
1.960000038146972656e+00,3.708010196685791016e+00
2.000000000000000000e+00,4.584309577941894531e+00
2.039999961853027344e+00,5.615893363952636719e+00
2.079999923706054688e+00,6.870089530944824219e+00
2.119999885559082031e+00,6.050570964813232422e+00
2.160000085830688477e+00,7.033740997314453125e+00
2.200000047683715820e+00,7.258820056915283203e+00
2.240000009536743164e+00,8.312074661254882812e+00
2.279999971389770508e+00,9.544797897338867188e+00
2.319999933242797852e+00,1.105902481079101562e+01
2.360000133514404297e+00,1.252717781066894531e+01
2.400000095367431641e+00,1.393470764160156250e+01
2.440000057220458984e+00,1.553482818603515625e+01
2.480000019073486328e+00,1.741606140136718750e+01
2.519999980926513672e+00,1.969913673400878906e+01
2.559999942779541016e+00,2.221222686767578125e+01
2.599999904632568359e+00,2.449877548217773438e+01
2.639999866485595703e+00,2.481429481506347656e+01
2.679999828338623047e+00,2.709860992431640625e+01
2.720000028610229492e+00,2.956649971008300781e+01
2.759999990463256836e+00,3.224030685424804688e+01
2.799999952316284180e+00,3.512312698364257812e+01
2.840000152587890625e+00,3.810566329956054688e+01
2.880000114440917969e+00,4.068873977661132812e+01
2.920000076293945312e+00,4.339067077636718750e+01
2.960000038146972656e+00,4.625659942626953125e+01
3.000000000000000000e+00,4.940317153930664062e+01
3.039999961853027344e+00,5.117619323730468750e+01
3.079999923706054688e+00,5.442229461669921875e+01
3.119999885559082031e+00,5.779826736450195312e+01
3.159999847412109375e+00,6.064481353759765625e+01
3.199999809265136719e+00,6.359168243408203125e+01
3.240000009536743164e+00,6.664367675781250000e+01
3.279999971389770508e+00,6.877157592773437500e+01
3.319999933242797852e+00,7.243559265136718750e+01
3.360000133514404297e+00,7.626547241210937500e+01
3.400000095367431641e+00,8.025583648681640625e+01
3.440000057220458984e+00,8.346457672119140625e+01
3.480000019073486328e+00,8.586245727539062500e+01
3.519999980926513672e+00,8.344950866699218750e+01
3.559999942779541016e+00,8.585333251953125000e+01
3.599999904632568359e+00,8.834093475341796875e+01
3.639999866485595703e+00,9.086405181884765625e+01
3.679999828338623047e+00,9.342678833007812500e+01
3.719999790191650391e+00,9.345315551757812500e+01
3.759999752044677734e+00,9.608030700683593750e+01
3.800000190734863281e+00,9.838951110839843750e+01
3.840000152587890625e+00,1.004752044677734375e+02
3.880000114440917969e+00,1.025682830810546875e+02
3.920000076293945312e+00,1.051705245971679688e+02
3.960000038146972656e+00,1.079663238525390625e+02
4.000000000000000000e+00,1.093916778564453125e+02
4.039999961853027344e+00,1.121342315673828125e+02
4.079999923706054688e+00,1.149113616943359375e+02
4.119999885559082031e+00,1.177145385742187500e+02
4.159999847412109375e+00,1.205204162597656250e+02
4.199999809265136719e+00,1.229325866699218750e+02
4.239999771118164062e+00,1.253591766357421875e+02
4.279999732971191406e+00,1.278061676025390625e+02
4.320000171661376953e+00,1.255037002563476562e+02
4.360000133514404297e+00,1.262194595336914062e+02
4.400000095367431641e+00,1.283421020507812500e+02
4.440000057220458984e+00,1.304777832031250000e+02
4.480000019073486328e+00,1.326368408203125000e+02
4.519999980926513672e+00,1.348225250244140625e+02
4.559999942779541016e+00,1.370081176757812500e+02
4.599999904632568359e+00,1.356073913574218750e+02
4.639999866485595703e+00,1.375720977783203125e+02
4.679999828338623047e+00,1.393708343505859375e+02
4.719999790191650391e+00,1.411533355712890625e+02
4.759999752044677734e+00,1.429371948242187500e+02
4.799999713897705078e+00,1.447215728759765625e+02
4.840000152587890625e+00,1.464982452392578125e+02
4.880000114440917969e+00,1.482721099853515625e+02
4.920000076293945312e+00,1.483988952636718750e+02
4.960000038146972656e+00,1.501700439453125000e+02
5.000000000000000000e+00,1.519016418457031250e+02
5.039999961853027344e+00,1.537192077636718750e+02
5.079999923706054688e+00,1.554190826416015625e+02
5.119999885559082031e+00,1.571429290771484375e+02
5.159999847412109375e+00,1.588633270263671875e+02
5.199999809265136719e+00,1.605781250000000000e+02
5.239999771118164062e+00,1.622888336181640625e+02
